id,type,position,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
77227d6f-2491-445f-a2d1-25b1d4e6cc70,CHAR,0,Bank account,Bankovní účet,Bankkonto,Αριθμός λογαριασμού,Bank account,Cuenta bancaria,Pangakonto,Compte bancaire,Bankovni račun,Bankszámla,Bank account,Banko sąskaita,Bankas konts,Bankrekening,Konto bankowe,Contul bancar,Bankový účet,Bančni račun,Bank account
2eb23dbc-9255-4354-86bb-01cca33ef389,DATE,1,Да се реши до,Vyřešit do,Gelöst durch,Επίλυση μέχρι,Resolve by,Resolver antes de,Lahenda,Résoudre avant le,Riješi do,Megoldani eddig az időpontig,Resolve by,Išspręsti iki,Atrisināt līdz,Oplossen voor,Rozpatrywane przez,De rezolvat până,Vyriešiť do,Rešite do,Resolve by
da27d56d-b4f7-441a-8f9a-ec4702f92eba,DATE,2,,Interní termín vyřízení reklamace,,,,,,,,,,,,,,,,,Interní termín vyřízení reklamace
95a7ac86-33a6-44e6-aaaa-d61d78eaa305,CZECH_BANK_ACCOUNT,3,,Číslo bankovního účtu pro vrácení peněz,,,,,,,,Bankszámla a pénz visszatérítésére,,,,,,,Číslo bankového účtu na vrátenie peňazí,,Číslo bankovního účtu pro vrácení peněz
c03fa941-4969-4dc4-945b-348b3e46ae52,SELECTMULTI,4,,Co je s výrobkem špatně?,,,,,,,,Mi a probléma a termékkel?,,,,,,,Čo je s výrobkom zle?,,Co je s výrobkem špatně?
79c9cb56-68e0-4ec6-8692-f221f8025e1a,CHAR,5,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name,Supplier name
b7232c33-97e9-4750-a048-ee3b687d6122,CHAR,6,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street,Supplier street
f1cdd9ba-b191-4b1a-93f5-15b0e78d4d97,CHAR,7,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city,Supplier city
1115977d-cd59-4c5f-9460-fe80566715dc,CHAR,8,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code,Supplier postal code
5adeb6c8-cc5e-4139-8f76-5c9d2fd0e59e,CHAR,9,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID,Supplier ID
ec2008f9-56e6-42da-b227-acd720732039,CHAR,10,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID,Supplier VAT ID
