id,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
6bc9dc7b-7c3c-4f47-9039-3c07ddef4377,Pending,Nový Případ,Anlegen eines Falls,Σε εκκρεμότητα,Pending,Pending,Pending,En attente,Novi slučaj,Függőben,Pending,Pending,Pending,Pending,Nowe zgłoszenie,În aşteptare,Čakajúce,V teku,Nový Případ
9617da40-3682-4f8c-b362-ad7647959b8c,,Zákazník neodpovídá,,,,,,,,,,,,,,,,,Zákazník neodpovídá
9647e8a1-de8f-4e2e-98b8-c96e88c999e3,,Zamítnuto - zboží rozbaleno,,,,,,,,,,,,,,,,,Zamítnuto - zboží rozbaleno
e2417ffe-3d79-4a03-a2ce-c531e9d8f116,,Duplicitní případ,,,,,,,,,,,,,,,,,Duplicitní případ
05941f94-cdaa-4291-ba76-be63db6ef4bf,Waiting for goods,Čekáme na přijetí,Waiting for goods,Εν αναμονή των εμπορευμάτων,Waiting for goods,Waiting for goods,Waiting for goods,En attente de marchandises,Waiting for goods,Csomagra várva,Waiting for goods,Waiting for goods,Waiting for goods,Waiting for goods,Czekam na produkt,Așteptând produsele,Čakanie na tovar,Čakanje na izdelke,Čekáme na přijetí
3a1a8b24-b78f-47b8-8a4b-67b99a6ca45f,,Zákazník poslal sám,,,,,,,,,,,,,,,,,Zákazník poslal sám
d840ef63-c1a1-40a5-8292-bc4d6a21b3e7,,Přijato na prodejně,,,,,,,,,,,,,,,,,Přijato na prodejně
5fd48f17-dec1-4da6-a3fe-828fd3d352f9,Authorized - Sending goods,Uznáno - refundujeme,Authorized - Sending goods,Εγκρίθηκε - Αποστολή εμπορευμάτων,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Autorisé - Envoi des marchandises,Authorized - Sending goods,Jóváhagyva - Termék csere,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Akceptacja - wysyłka towaru,Autorizat - Trimitere produse,Autorizovaný-zasielanie tovaru,Odobreno- Pošiljanje izdelkov,Uznáno - refundujeme
ddb0e535-568a-4ebe-821a-23ac283ade3f,Unauthorized - Goods back to customer,Neuznáno - Vracíme zboží zákazníkovi,Unauthorized - Goods back to customer,Δεν εγκρίθηκε - Επιστροφή εμπορευμάτων στον πελάτη,Unauthorized - Goods back to customer,Unauthorized - Goods back to customer,Unauthorized - Goods back to customer,Non autorisé - Produits retournés au client,Unauthorized - Goods back to customer,Elutasítva - Termék vissza az ügyfélhez,Unauthorized - Goods back to customer,Unauthorized - Goods back to customer,Unauthorized - Goods back to customer,Unauthorized - Goods back to customer,Odrzucone - zwrot towaru do klienta,Nereautorizat - Returnare produse la client,Neoprávnené-tovar späť k zákazníkovi,Neodobreno- Izdelki se vrnejo kupcu,Neuznáno - Vracíme zboží zákazníkovi
10fddeae-1cfc-41b1-8d12-291a80efafa5,,Uznáno - výměna za jiné zboží,,,,,,,,,,,,,,,,,Uznáno - výměna za jiné zboží
cac62674-a505-4b81-97ac-ee1ba7a79cc2,,čekáme na odeslání peněz,,,,,,,,,,,,,,,,,čekáme na odeslání peněz
ffcc4369-7a26-4321-988f-ee4f748c0ed8,,čekáme na vystavení faktury,,,,,,,,,,,,,,,,,čekáme na vystavení faktury
eacffc9b-b289-4a95-a969-c2ad549c10fc,Refunded,Refundováno,Refunded,Επιστροφή χρημάτων,Refunded,Refunded,Refunded,Remboursé,Refunded,Visszatérítve,Refunded,Refunded,Refunded,Refunded,Zwrot pieniędzy,Rambursat,Refundovaná,Povrnjeno,Refundováno
416cb869-b12e-4342-88a9-ca9deece6cd9,Goods sent to customer,Zboží zasláno k zákazníkovi,Goods sent to customer,Προϊόντα στάλθηκαν στον πελάτη,Goods sent to customer,Goods sent to customer,Goods sent to customer,Marchandises envoyées au client,Goods sent to customer,Termék elküldve az ügyfélhez,Goods sent to customer,Goods sent to customer,Goods sent to customer,Goods sent to customer,Produkt wysłany do klienta,Produse trimise către client,Tovar odoslaný zákazníkovi,Izdelki so poslani kupcu,Zboží zasláno k zákazníkovi
17b4ba45-1ab7-4036-969d-bb3a7ae14728,Goods ready for collection,Zboží připraveno k vyzvednutí,Goods ready for collection,Προϊόντα έτοιμα για παραλαβή,Goods ready for collection,Goods ready for collection,Goods ready for collection,Marchandises prêtes à être collectées,Goods ready for collection,Termék várja az átvételt,Goods ready for collection,Goods ready for collection,Goods ready for collection,Goods ready for collection,Produkt gotowy do odbioru,Produse pregătite pentru colectare,Tovar pripravený na odber,Blago pripravljeno za prevzem,Zboží připraveno k vyzvednutí
5b4715c9-ff2b-4b22-8f72-161e678c7361,,Zamítnuto - zboží rozbaleno,,,,,,,,,,,,,,,,,Zamítnuto - zboží rozbaleno
8aef63fc-878a-4fb6-bbe3-fb81ccfe89ed,,Vystaven kupón v hodnotě zboží,,,,,,,,,,,,,,,,,Vystaven kupón v hodnotě zboží
